ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
DYN,2000-02-01,,,,,0.0,,0.69,,,,,0.0
DYN,2000-08-22,,,,,0.0,,2.0,,,,,0.0
DYN,2010-05-25,,,,,0.0,,0.2,,,,,0.0
DYN,2012-10-03,20.0,20.75,18.55,19.3,3182500.0,0.0,1.0,20.0,20.75,18.55,19.3,3182500.0
DYN,2012-10-04,19.3,19.3,18.66,19.23,2296700.0,0.0,1.0,19.3,19.3,18.66,19.23,2296700.0
DYN,2012-10-05,19.42,19.42,18.25,18.72,1008100.0,0.0,1.0,19.42,19.42,18.25,18.72,1008100.0
DYN,2012-10-08,18.63,18.66,18.34,18.5,459500.0,0.0,1.0,18.63,18.66,18.34,18.5,459500.0
DYN,2012-10-09,18.49,18.49,18.2,18.25,678700.0,0.0,1.0,18.49,18.49,18.2,18.25,678700.0
DYN,2012-10-10,18.0,18.04,17.0,17.35,3911800.0,0.0,1.0,18.0,18.04,17.0,17.35,3911800.0
DYN,2012-10-11,17.5,17.78,17.26,17.39,1925000.0,0.0,1.0,17.5,17.78,17.26,17.39,1925000.0
DYN,2012-10-12,17.17,18.43,17.17,18.01,1349400.0,0.0,1.0,17.17,18.43,17.17,18.01,1349400.0
DYN,2012-10-15,18.02,18.87,18.02,18.73,927800.0,0.0,1.0,18.02,18.87,18.02,18.73,927800.0
DYN,2012-10-16,18.55,19.29,18.49,18.96,1102000.0,0.0,1.0,18.55,19.29,18.49,18.96,1102000.0
DYN,2012-10-17,18.9,19.25,18.63,18.71,490000.0,0.0,1.0,18.9,19.25,18.63,18.71,490000.0
DYN,2012-10-18,18.7,19.35,18.65,19.35,1395000.0,0.0,1.0,18.7,19.35,18.65,19.35,1395000.0
DYN,2012-10-19,19.35,19.53,18.76,18.95,2793600.0,0.0,1.0,19.35,19.53,18.76,18.95,2793600.0
DYN,2012-10-22,18.9,18.95,18.41,18.47,981600.0,0.0,1.0,18.9,18.95,18.41,18.47,981600.0
DYN,2012-10-23,18.47,18.54,17.95,18.4,804800.0,0.0,1.0,18.47,18.54,17.95,18.4,804800.0
DYN,2012-10-24,18.35,18.66,18.1,18.65,829000.0,0.0,1.0,18.35,18.66,18.1,18.65,829000.0
DYN,2012-10-25,18.99,18.99,18.5,18.87,161200.0,0.0,1.0,18.99,18.99,18.5,18.87,161200.0
DYN,2012-10-26,18.9,18.95,18.25,18.6,736000.0,0.0,1.0,18.9,18.95,18.25,18.6,736000.0
DYN,2012-10-31,18.25,18.92,18.23,18.7,668700.0,0.0,1.0,18.25,18.92,18.23,18.7,668700.0
DYN,2012-11-01,19.23,19.23,18.5,18.61,237700.0,0.0,1.0,19.23,19.23,18.5,18.61,237700.0
DYN,2012-11-02,18.8,18.8,18.29,18.32,254100.0,0.0,1.0,18.8,18.8,18.29,18.32,254100.0
DYN,2012-11-05,18.4,18.4,18.1,18.32,192700.0,0.0,1.0,18.4,18.4,18.1,18.32,192700.0
DYN,2012-11-06,18.5,18.95,18.3,18.44,576000.0,0.0,1.0,18.5,18.95,18.3,18.44,576000.0
DYN,2012-11-07,18.47,18.47,17.83,18.0,846800.0,0.0,1.0,18.47,18.47,17.83,18.0,846800.0
DYN,2012-11-08,17.75,18.11,17.75,18.0,121900.0,0.0,1.0,17.75,18.11,17.75,18.0,121900.0
DYN,2012-11-09,17.91,18.49,17.91,18.21,185800.0,0.0,1.0,17.91,18.49,17.91,18.21,185800.0
DYN,2012-11-12,18.1,18.16,18.0,18.04,93400.0,0.0,1.0,18.1,18.16,18.0,18.04,93400.0
DYN,2012-11-13,17.85,18.24,17.85,18.06,232500.0,0.0,1.0,17.85,18.24,17.85,18.06,232500.0
DYN,2012-11-14,18.5,18.64,18.27,18.29,410100.0,0.0,1.0,18.5,18.64,18.27,18.29,410100.0
DYN,2012-11-15,18.38,18.52,17.91,18.04,402900.0,0.0,1.0,18.38,18.52,17.91,18.04,402900.0
DYN,2012-11-16,18.01,18.06,17.73,18.05,145900.0,0.0,1.0,18.01,18.06,17.73,18.05,145900.0
DYN,2012-11-19,17.91,18.12,17.91,17.96,209000.0,0.0,1.0,17.91,18.12,17.91,17.96,209000.0
DYN,2012-11-20,17.87,18.16,17.86,18.04,226300.0,0.0,1.0,17.87,18.16,17.86,18.04,226300.0
DYN,2012-11-21,17.95,18.06,17.89,17.97,117700.0,0.0,1.0,17.95,18.06,17.89,17.97,117700.0
DYN,2012-11-23,17.95,18.12,17.87,18.07,50800.0,0.0,1.0,17.95,18.12,17.87,18.07,50800.0
DYN,2012-11-26,18.14,18.56,18.09,18.43,312300.0,0.0,1.0,18.14,18.56,18.09,18.43,312300.0
DYN,2012-11-27,18.33,18.78,18.26,18.57,124600.0,0.0,1.0,18.33,18.78,18.26,18.57,124600.0
DYN,2012-11-28,18.65,18.73,18.39,18.51,249300.0,0.0,1.0,18.65,18.73,18.39,18.51,249300.0
DYN,2012-11-29,18.35,18.69,18.35,18.57,637100.0,0.0,1.0,18.35,18.69,18.35,18.57,637100.0
DYN,2012-11-30,18.54,18.54,18.21,18.5,329300.0,0.0,1.0,18.54,18.54,18.21,18.5,329300.0
DYN,2012-12-03,18.35,18.42,18.22,18.27,89200.0,0.0,1.0,18.35,18.42,18.22,18.27,89200.0
DYN,2012-12-04,18.4,18.4,18.12,18.23,147800.0,0.0,1.0,18.4,18.4,18.12,18.23,147800.0
DYN,2012-12-05,18.2,18.32,18.2,18.23,181000.0,0.0,1.0,18.2,18.32,18.2,18.23,181000.0
