LINC, 0.948,  0.012,  1.156,  1.030,  0.918,  0.949,  0.814,  0.819,  0.953,  , 
SPWR, 0.951,  0.002,  0.997,  0.990,  0.840,  0.978,  0.947,  0.962,  0.944,  , 
CTSH, 0.960,  0.040,  1.027,  1.080,  1.071,  0.981,  0.476,  1.003,  1.080,  , 
UCTT, 0.961,  0.004,  0.926,  0.970,  0.917,  1.086,  0.962,  0.870,  0.994,  , 
FN, 0.962,  0.025,  0.663,  0.979,  0.874,  1.075,  1.047,  1.138,  , 
AVID, 0.963,  0.002,  1.012,  1.027,  0.998,  0.936,  0.924,  0.957,  0.889,  , 
BGFV, 0.966,  0.003,  0.974,  0.899,  0.966,  0.998,  1.028,  1.026,  0.871,  , 
APEI, 0.969,  0.012,  1.072,  0.946,  0.916,  0.902,  0.837,  0.928,  1.181,  , 
CPRT, 0.972,  0.009,  0.983,  1.042,  0.746,  0.989,  0.995,  0.990,  1.061,  , 
STRA, 0.974,  0.004,  1.060,  0.934,  0.912,  0.992,  0.934,  0.916,  1.072,  , 
ECPG, 0.976,  0.003,  0.930,  0.904,  0.983,  1.015,  0.919,  1.027,  1.056,  , 
JNPR, 0.976,  0.003,  1.084,  0.957,  0.973,  0.903,  0.951,  0.936,  1.028,  , 
HCI, 0.977,  0.029,  0.801,  0.994,  1.144,  1.275,  0.754,  0.933,  0.940,  , 
SNX, 0.978,  0.002,  1.024,  0.918,  0.922,  1.039,  0.997,  0.993,  0.951,  , 
VC, 0.978,  0.004,  0.845,  0.984,  1.009,  1.036,  0.952,  1.043,  , 
SIGM, 0.980,  0.003,  0.958,  0.956,  0.925,  1.037,  0.944,  1.083,  0.954,  , 
CCMP, 0.983,  0.009,  1.046,  1.067,  0.764,  1.008,  0.995,  0.949,  1.053,  , 
DOV, 0.984,  0.003,  1.024,  1.017,  0.964,  0.994,  0.878,  0.965,  1.042,  , 
CENX, 0.985,  0.019,  1.100,  1.153,  0.887,  0.965,  1.097,  0.724,  0.966,  , 
MEI, 0.985,  0.013,  0.787,  1.038,  0.977,  1.007,  0.898,  1.191,  1.000,  , 
NNA, 0.985,  0.004,  1.000,  0.973,  0.944,  1.120,  0.930,  0.992,  0.933,  , 
TECD, 0.986,  0.004,  0.982,  1.010,  0.991,  0.858,  1.034,  0.957,  1.072,  , 
ETN, 0.987,  0.007,  1.097,  0.845,  0.945,  1.000,  0.985,  0.947,  1.087,  , 
UBNT, 0.987,  0.007,  1.135,  1.002,  0.884,  0.925,  0.987,  , 
NTAP, 0.987,  0.004,  1.055,  0.942,  1.038,  0.991,  0.901,  0.914,  1.068,  , 
ZAGG, 0.988,  0.005,  1.059,  0.893,  1.019,  0.989,  1.031,  1.057,  0.865,  , 
DGII, 0.989,  0.002,  1.042,  0.978,  0.957,  0.928,  1.027,  0.939,  1.050,  , 
FFIV, 0.989,  0.006,  1.076,  0.873,  1.062,  0.941,  0.934,  0.965,  1.072,  , 
CPLA, 0.990,  0.008,  1.106,  0.874,  0.904,  1.000,  0.912,  1.010,  1.122,  , 
MUSA, 0.991,  0.001,  1.006,  1.011,  0.955,  , 
NVDA, 0.992,  0.005,  1.054,  0.863,  0.997,  1.009,  0.964,  0.954,  1.101,  , 
ANH, 0.993,  0.001,  0.994,  0.987,  1.001,  1.047,  0.960,  0.973,  0.989,  , 
GNCMA, 0.993,  0.009,  1.030,  0.915,  0.816,  1.048,  1.084,  1.098,  0.963,  , 
WMAR, 0.994,  0.014,  1.153,  1.012,  1.079,  0.921,  0.895,  0.803,  1.097,  , 
RNWK, 0.995,  0.001,  1.004,  0.977,  0.973,  1.046,  1.007,  0.949,  1.012,  , 
ASC, 0.995,  0.001,  1.007,  0.958,  1.020,  , 
AOSL, 0.996,  0.003,  0.984,  0.972,  1.102,  0.983,  0.990,  0.942,  , 
MED, 0.998,  0.006,  1.088,  0.868,  1.057,  0.987,  1.077,  0.929,  0.979,  , 
NKE, 0.999,  0.005,  1.085,  0.863,  1.003,  1.085,  0.940,  1.028,  0.991,  , 
GAIN, 0.999,  0.002,  1.101,  0.959,  0.994,  0.981,  1.016,  0.940,  1.001,  , 
FNSR, 0.999,  0.045,  1.232,  0.578,  0.926,  0.911,  1.094,  1.008,  1.240,  , 
VRTS, 0.999,  0.007,  1.002,  1.038,  1.052,  1.113,  0.955,  1.001,  0.829,  , 
FTD, 0.999,  0.010,  1.015,  0.869,  1.113,  , 
CW, 1.000,  0.003,  1.074,  0.951,  0.987,  1.014,  0.911,  1.005,  1.056,  , 
INTL, 1.001,  0.003,  0.950,  1.050,  0.926,  0.960,  1.028,  1.063,  1.033,  , 
KBH, 1.002,  0.018,  1.025,  0.971,  0.796,  1.176,  0.827,  1.116,  1.103,  , 
CECO, 1.003,  0.044,  1.129,  0.950,  0.856,  0.702,  0.998,  0.966,  1.420,  , 
EBAY, 1.005,  0.004,  1.149,  0.952,  1.020,  0.974,  0.949,  0.991,  1.003,  , 
